# AFT geometry generated from EventDisp2DwithAFTKK.cc
#
# Units: mm
# fiberID assignment:
#   scan aft_de_low_cut[36][32] in increasing [plane][segment] order;
#   skip nonexistent Y/Y' segments 16..31.
# planeID:
#   -1 = unset. This field is reserved for the EASIROC plane ID and can be
#   filled manually later.
#
# Columns:
# fiberID planeID globalLayerID layerType layerIndex fiberIndex centerX centerY centerZ dirX dirY dirZ length radius
#
233 -1  9 XP 2  9 -21.918729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
234 -1  9 XP 2 10 -18.818729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
235 -1  9 XP 2 11 -15.718729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
236 -1  9 XP 2 12 -12.618729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
237 -1  9 XP 2 13  -9.518729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
238 -1  9 XP 2 14  -6.418729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
239 -1  9 XP 2 15  -3.318729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
240 -1  9 XP 2 16  -0.218729   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
241 -1  9 XP 2 17   2.881271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
242 -1  9 XP 2 18   5.981271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
243 -1  9 XP 2 19   9.081271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
244 -1  9 XP 2 20  12.181271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
245 -1  9 XP 2 21  15.281271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
246 -1  9 XP 2 22  18.381271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
247 -1  9 XP 2 23  21.481271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
248 -1  9 XP 2 24  24.581271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
249 -1  9 XP 2 25  27.681271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
250 -1  9 XP 2 26  30.781271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
251 -1  9 XP 2 27  33.881271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
252 -1  9 XP 2 28  36.981271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
253 -1  9 XP 2 29  40.081271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
254 -1  9 XP 2 30  43.181271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
255 -1  9 XP 2 31  46.281271   0.000000 377.760000 0.0 1.0 0.0 50.0 1.5
256 -1 10 Y  2  0   0.000000 -23.582233 380.860000 1.0 0.0 0.0 100.0 1.5
257 -1 10 Y  2  1   0.000000 -20.482233 380.860000 1.0 0.0 0.0 100.0 1.5
258 -1 10 Y  2  2   0.000000 -17.382233 380.860000 1.0 0.0 0.0 100.0 1.5
259 -1 10 Y  2  3   0.000000 -14.282233 380.860000 1.0 0.0 0.0 100.0 1.5
260 -1 10 Y  2  4   0.000000 -11.182233 380.860000 1.0 0.0 0.0 100.0 1.5
